Text,Null copula,Person/num. agreement,Multiple negators,Existential it/dey,Perfect done,Remote past BIN, Habitual be
F:	 And we would go down there and there were boatloads of tourists; from here; we’d go around and spin the boat around.,,,,,,,
F:	 “Hold it right there; brother.,,,,,,,
F:	 What’s going on?”,,,,,,,
F:	   “A baptism is goin’ on over there.”,,,,,,,
F:	  And a lot of time I could see them going home when the baptism was over.,,,,,,,
F:	  Turn around; bring em back up the river.,,,,,,,
F:	 That’s what we used to do.,,,,,,,
F:	 Fun place to work.,,,,,,,
G:	 Yeah.,,,,,,,
G:	 What about all of the models; and the Miss Paradise Park competitions?,,,,,,,
G:	 Were those fun; too?,,,,,,,
F:	 Well; no and yes.,,,,,,,
F:	  There’s a guy up there and he use to do all the filming for advertising for Silver Springs.,,,,,,,
F:	 That’s Bruce Moller---he’s on that—the little short guy over there.,,,,,,,
F:	 He’s good at what he was doing; lots of these old cameras and things you see up there?,,,,,,,
F:	 He was good at that.,,,,,,,
F:	 And; that’s what he would do.,,,,,,,
F:	 And; he would stop up in the middle of the river and the trip was a forty-five minute ride.,,,,,,,
F:	For the glass-bottom boat,,,,,,,
F:	 They had the general crew would take you on down there; it was stay down there for about an hour or better; but it went much further down the river; five miles.,,,,,,,
F:	 Man; when you when see him coming; he’d wave his hand out like that.,,,,,,,
F:	 When he do that he’d want to stop and make some pictures where you was at that particular time.,,,,,,,
F:	 And we’d just stop the boat and he’d tell us what he want done and “Spin us around; raise ya windows; everybody hang on; feed the fish!”,,,,,,,
F:	  Okay; he’d get a shot of that.,,,,,,,
F:	 Then; he’s spinning around—couple of three positions that he would have you in.,,,,,,,
F:	 It wasn’t bad.,,,,,,,
F:	 I like doing what I was doing.,,,,,,,
F:	 So; I done what he said.,,,,,,,
F:	 So; I enjoyed doing what I was doing.,,,,,,,
F:	 So; the same way…,,,,,,,
G:	 He was enjoying what he was doing.,,,,,,,
F:	 He did a good job at it.,,,,,,,
F:	 He made good shots; yeah.,,,,,,,
G:	 Yeah; it was.,,,,,,,
G:	 I’ve seen lots of his pictures.,,,,,,,
G:	 They’re great.,,,,,,,
F:	 He’s good; ain’t no question about it.,,,1,,,,
F:	 Just to get by there.,,,,,,,
F:	 There or four months ago.,,,,,,,
G:	 I know.,,,,,,,
G:	 Before the book was released?,,,,,,,
F:	 Um-hm.,,,,,,,
G:	 Let’s see… What else was I gonna ask you?,,,,,,,
F:	 Just dig up something; I’m gonna give you answers for it.,,,,,,,
G:	 Yeah!,,,,,,,
G:	 Were you affected at all by the Civil Rights Movement going on in the South as a whole; or…?,,,,,,,
F:	 Well; yeah; I was aware of that cause I was in the middle of some of it; anyways.,,,,,,,
G:	 Oh; you were?,,,,,,,
G:	 We’ll now you gotta tell me about that.,,,,,,,
F:	  Yeah!,,,,,,,
G:	 What were you in the middle of?,,,,,,,
F:	 Well; that’s what was goin’ on.,,,,,,,
F:	 I was just into it because it was interesting to me; you know?,,,,,,,
F:	  The way the thing was going; it wasn’t exactly right the way it was going for the get-go.,,,,,,,
F:	 And; that’s why I was right in the middle of it.,,,,,,,
F:	 I stayed right in the middle of it.,,,,,,,
G:	 Was working as a boat driver one of the better jobs for---?,,,,,,,
F:	 No; but I was happy with what I was doin’ here simply because what I done; I made people happy with what I was doing.,,,,,,,
F:	 If I made them happy; then there was no reason for me not to be happy.,,,,,,,
G:	 Right.,,,,,,,
G:	 Had you worked other jobs before you were a boat driver?,,,,,,,
"F:	 Yeah; I used to---I come up on a farm. Farm my own self, paid one now; I did. ",,,,,,,
F:	  After I got here I got to busy here. ,,,,,,,
F:	 I just kind of let it fade away; that’s what it was.,,,,,,,
F:	 But; it was good!,,,,,,,
G:	 It was good?,,,,,,,
G:	 That’s great!,,,,,,,
F:	 Yeah.,,,,,,,
G:	 So; is there anything that you can tell me that you haven’t told other people?,,,,,,,
G:	 Because; I know you’ve been interviewed lots of times for the Ocala Star Banner and for the other books… Is there anything---?,,,,,,,
F:	 Well; if a whole lot--- It may not come to my remembrance right now; but so much I done.,,,,,,,
F:	 And man; I could just about. Should’ve written a book about it anyway ,,,,,,,
F:	 I’ve seen it all and I’ve done it all.,,,,,,,
G:	 Yeah!,,,,,,,
F:	 And; the bottom line was; what I done is that I make people happy with what I was doing.,,,,,,,
F:	 So it wasn’t no  one way or the other.,,,1,,,,
F:	 You know?,,,,,,,
F:	 People are people; I don’t care where you go.,,,,,,,
F:	 And I had some mighty good people there.,,,,,,,
G:	 Um-hm.,,,,,,,
G:	 Did you ever get to drive any of the celebrities that came to visit?,,,,,,,
F:	 Yup.,,,,,,,
G:	 Who did you drive?,,,,,,,
F:	 Yeah.,,,,,,,
F:	 No; no.,,,,,,,
F:	 I just put them on my boat and take them down the river and show em… that happens all the time!,,,,,,,
F:	 So they come to respect me.,,,,,,,
G:	 That’s cool!,,,,,,,
F:	  And take them down the river.,,,,,,,
F:	  We done what we done all down to the end.,,,,,0,,
G:	 Okay!,,,,,,,
G:	 What about all the movies?,,,,,,,
G:	 What were- what was that like; when they were filming movies here?,,,,,,,
F:	 Oh.,,,,,,,
F:	 That’s here on the wall.,,,,,,,
F:	 Just about everything you see up there--you see this was here; Johnny Weissmuller?,,,,,,,
G:	 Um-hm.,,,,,,,
F:	 That was one of the older movies.,,,,,,,
F:	 But; I can barely remember him.,,,,,,,
F:	 But just about everything else you see along there… All of that I can just about walk you through it; every bit of it.,,,,,,,
G:	 Wow!,,,,,,,
F:	 See this guy here?,,,,,,,
F:	 Rick O’Bryan? That’s my old buddy anyway. ,,,,,,,
G:	 Um-hm.,,,,,,,
"F:	  The Creature right there, him.  His mother was in here.",,,,,,,
F:	  I don’t know; three months ago?,,,,,,,
F:	 She say; “That’s my son!”,,,,,,,
F:	 And I said well; yeah; me and him done been in to something; I can tell you--- ,,,,,,,
G:	 Yeah; wow!,,,,,,,
F:	 Oh; it’s been a fun place; no question---That’s a good guy up there; he’s done a lot of good.,1*,,,,,,
F:	 Lloyd Bridges---,,,,,,,
G:	 Lloyd Bridges?,,,,,,,
F:	 Yeah; he was good.,,,,,,,
F:	 He was good.,,,,,,,
F:	 All of those guys were good.,,,,,,,
F:	 And the story goes on and on…,,,,,,,
G:	 It’s still going isn’t it?,,,,,,,
F:	 Still goes on.,,,,,,,
G:	 Yeah!,,,,,,,
F:	 We don’t have nothing like the attendance that we used to have here.,,,1,,,,
G:	 Right.,,,,,,,
F:	 We all look out there.,,,,,,,
F:           Where all that grass done grew up there? ,,,,,,,
F:	 That used to be nothing but a big sand beach.,,,,,,,
G:	 Wow; I did not know that.,,,,,,,
F:	 Oh; yeah!,,,,,,,
F:	 All back in there.,,,,,,,
F:	 All of that was a big sand beach.,,,,,,,
F:	 Go in and take your dip in seventy-two degree water; come out lay in the sun and get your suntan.,,,,,,,
F:	 That’s what it was all about back in the day.,,,,,,,
G:	 Yeah!,,,,,,,
G:	 And; then; there was the separate beach over at Paradise Park that that all the African Americans---,,,,,,,
F:	 Yeah.,,,,,,,
F:	 Well; that’s farther down.,,,,,,,
F:	 To get there.,,,,,,,
F:	 Ya’ll didn’t get there.,,,,,,,
G:	 Yeah.,,,,,,,
G:	 Can you get to it today?,,,,,,,
F:	 You can but it’s done grew up; you wouldn’t know it.,,,,,1,,
G:	 Oh; okay.,,,,,,,
F:	 That’s what I’m saying; there’s a road that go there.,,,,,,,
F:	 You come in on forty.,,,,,,,
F:	 You just shift over on Baseline.,,,,,,,
F:	 And; you’ll see the big road there going east.,,,,,,,
F:	 You just drive right down and it will take you right on down to Ole’ PD; or Paradise Park.,,,,,,,
F:	 I done went through it with  Well; they were just taking riders through it on the old buggy.,,,,,1,,
F:	 We done been all the way through there.,,,,,1,1,
G:	 Wow.,,,,,,,
G:	 Do any of the boats go by there now?,,,,,,,
F:	 No; no boats there at all.,,,,,,,
F:	 You wouldn’t even know it.,,,,,,,
G:	 You wouldn’t even know.,,,,,,,
F:	 This river; they cut a canal through there  And that’s where it would come out.,,,,,,,
G:	 Okay; for the canal?,,,,,,,
G:	 Okay.,,,,,,,
F:	 Right there down on PD; Paradise Park.,,,,,,,
F:	 I had to give one young guy—He come here; he wanted to make some pictures and he needed instruction.,,,,,,,
F:	 And I asked him; “Where you were going?”,,,,,,,
F:	  He said; “Oh; Paradise Park.”,,,,,,,
F:	  Then I just lay out; coming back the way it was.,,,,,,,
F:	 Now he said; “Yeah; I know where you were.”,,,,,,,
F:	  I say; “You remember that big rock set way out there?”,,,,,,,
F:	 He said; “Yeah.”,,,,,,,
F:	  I said; “Well if you get there you’re in trouble cause a big rock down in your path and everything; so”.,,,,,,,
F:	  He understood.,,,,,,,
F:	  Keep on askin.,,,,,,,
F:	 I don’t know; I’m going to give you answers; whatever you got there.,,,,,,,
G:	 Yeah!,,,,,,,
G:	 I’m trying to think of more things to ask.,,,,,,,
G:	 I think I’ve ask a lot of my questions already.,,,,,,,
G:	 Well; what happened when Paradise Park closed?,,,,,,,
F:	 They just shut it down.,,,,,,,
G:	 They just shut it down?,,,,,,,
F:	 Shut it down.,,,,,,,
F:	 That was a beautiful place!,,,,,,,
F:	 See all those pictures to your left?,,,,,,,
G:	 Yeah; they’re gorgeous!,,,,,,,
G:	 That's what it- ,,,,,,,
G:	  So what happened to the structures that were there? Did they- ,,,,,,,
F:	 All that; they just ripped down.,,,,,,,
G:	 They just teared it all down?,,,,,,,
F:	 Tore it down; .,,,,,,,
F:	 Used to have the same thing that this guy here;  that you’re lookin’ at up in there.,,,,,,,
G:	 Um-hm.,,,,,,,
G:	 Did he---?,,,,,,,
F:	 Okay.,,,,,,,
F:	 He made animals and all of that he had at Paradise Park.,,,,,,,
G:	 Um-hm.,,,,,,,
G:	 Would he do the shows there; as well?,,,,,,,
F:	 Yeah; yeah.,,,,,,,
G:	 Okay; so he traveled to there and would do it over there?,,,,,,,
F:	 Well; he just put that up for people to see; not necessarily he was in everything with that; he had somebody that was running it for him.,,,,,,,
G:	 Oh; okay.,,,,,,,
F:	 Yeah.,,,,,,,
G:	 Do you think it was a big loss to the black community when Paradise Park closed?,,,,,,,
F:	 Well; yeah; yeah.,,,,,,,
F:	 I would say so; cause everybody would come; man on a Christmas; they had Santa Claus; and on Easter they would have all that going—It’s a big day at PD Same thing as here.,,,,,,,
F:	 So all of that was missing; yes.,,,,,,,
G:	 Did black people come to Silver Springs as much they went to Paradise Park once it was integrated?,,,,,,,
F:	 Yeah.,,,,,,,
G:	 So; they just started coming here?,,,,,,,
F:	 Yeah.,,,,,,,
F:	 That’s the purpose of Paradise Park.,,,,,,,
F:	 Now you’re backing up into integration days.,,,,,,,
F:	 And that’s what that was all about back in the days.,,,,,,,
F:	 A lot of people that come here; Blacks I’m talkin’; and they was turned down.,,,,,,,
F:	 That’s the purpose of that opened up; the way it was.,,,,,,,
F:	 That’s why it become a Paradise Park.,,,,,,,
G:	 Was it something really special for everyone?,,,,,,,
F:	 Yeah.,,,,,,,
F:	 Yeah.,,,,,,,
G:	 Cause there wasn’t very many places for—that had a separate area?,,,,,,,
F:	 Yeah; but boy man places be-  colored people there.,,,,,,,
"F:	 Man you come at a holiday you couldn’t stir a stick down there, all them people.",,,,,,,
F:	 So it was a drawing card; cause-- bottom line; that’s what it was.,,,,,,,
F:	 I enjoyed it all and I was right in the middle of all of it.,,,,,,,
G:	 You really were; you’ve been in the middle of all of it for a long time.,,,,,,,
F:	 For a long time; that’s right.,,,,,,,
G:	 So; the biggest change is the attendance drop and the switch to it being a state park?,,,,,,,
F:	 Yeah.,,,,,,,
F:	 Well; when it comes to the state park; I’m not saying---being a state park and a theme park; that’s what it was.,,,,,,,
F:	 When I was running it back in those days it was a theme park.,,,,,,,
F:	 And then the state taken over.,,,,,,,
F:	 The reason being; a lot of them-- attendance was droppin with a lot of the places.,,,,,,,
F:	 And the state would just barge in; and pick it out; which I thought was good.,,,,,,,
F:	 Some of the places; they closed down anyway.,,,,,,,
F:	 Things were done a little bit different from what they was doin then.,,,,,,,
F:	 To me; I think it played a good part.,,,,,,,
F:	 I really liked it a whole lot better---when they was doing it—is a theme park in place of a state park.,,,,,,,
F:	 Cause they got the rules and regulations—some good; and some; well; maybe not so good; but--	 That’s the way it was!,,,,,,,
F:	 But I’d just like to keep on taking it the way I done it; as long as I made people happy; but--- A lot of them; they just had to because the attendance had dropped so bad that they couldn’t keep it open; anyway. They just closed it down themselves; and that’s what they done. ,,,,,,,
F:	  That’s the good part; right there; yeah.,,,,,,,
G:	 Was it ever permanently closed?,,,,,,,
G:	 Closed temporarily while they---?,,,,,,,
F:	  Some of em got it temporary but eventually closed completely.,,,,,,,
F:	 That’s when the state come in.,,,,,,,
G:	 Okay.,,,,,,,
G:	 So; then; the state comes in and; would re-open it with less operating costs?,,,,,,,
F:	 Yeah. They were good. ,,,,,,,
F:	 The state got the attendance changed.,,,,,,,
F:	 But; bottom line; I don’t see being too bad because; it’s uh-if they’re gonna keep it open; well then good.,,,,,,,
F:	 If they don’t; then they’re gonna own it anyway!,,,,,,,
F:	 See a lot of them; they just couldn’t maintain them because of the lack of attendance.,,,,,,,
F:	 That’s what they done; back in the day.,,,,,,,
U:	 Can I interrupt for just one second?,,,,,,,
F:	 Yes; you sure can!,,,,,,,
U:	  Whatever it was; when they started constructed of the Barge Canal?,,,,,,,
F:	 Yup.,,,,,,,
U:	 Before that; would you see manatees up in here; then?,,,,,,,
F:	 No.,,,,,,,
F:	 They come up in here.,,,,,,,
F:	 I didn’t seem them; but some did.,,,,,,,
F:	 It’s a strange thing when you see a manatee come out this far.,,,,,,,
F:	 But; yeah.,,,,,,,
U:	 They really can’t get here now; unless somebody opens the locks and one happens to slip through the locks that are at---,,,,,,,
F:	 Yeah; Rodman was talking about where—Off on Fort McCoy.,,,,,,,
F:	 And I used to fish.,,,,,,,
U:	 Right; me too.,,,,,,,
F:	 Yeah.,,,,,,,
F:	 Ocklawaha River.,,,,,,,
F:	 Yeah; they got the big locks down.,,,,,,,
F:	 If they close that lock; no; they can’t get through.,,,,,,,
F:	 But; if they open that lock; yes.,,,,,,,
F:	 They come on.,,,,,,,
U:	 Cause they got the dam there now in front of Rodman Reservoir.,,,,,,,
U:	 But; I was just wondering if manatees come up in this far.,,,,,,,
F:	 Yeah; some.,,,,,,,
F:	 Let me explain.,,,,,,,
F:	 I just looked at some not too long ago; right at that big spring; right there!,,,,,,,
F:	 It wanted the Silver River.,,,,,,,
U:	 Yeah!,,,,,,,
U:	 Well; we’ve paddle it all the way from Ray’s Landing.,,,,,,,
U:	 We’ve paddled on our kayaks up and down here many times.,,,,,,,
F:	 I’ll bet ya did.,,,,,,,
F:	  Yeah.,,,,,,,
U:	 Many times.,,,,,,,
U:	 I mean recently.,,,,,,,
U:	 No; I mean; since I’ve been old!,,,,,,,
U:	I didn’t mean to interrupt but wanted to know if manatees had ever---,,,,,,,
G:	 It’s fine!,,,,,,,
F:	 I ain’t got nothing but time; go ahead!,,,1,,,,
F:	 I don’t know how much time she got---,,,,,,,
G:	 I’ve got nothing but time too.,,,,,,,
G:	 So; any other questions.,,,,,,,
U:	 Looks like you’re doing an interview of some sort.,,,,,,,
G:	 I am!,,,,,,,
G:	 Yes; I’m writing my senior thesis on--- I go to UF On Silver Springs and Paradise Park and then I’m also incorporating a little bit of Cypress Gardens into it.,,,,,,,
G:	 So. Just getting a little interview done here. ,,,,,,,
U2:         Well you got a wealth of information right there.,,,,,,,
U:	 We don’t remember each other; but; when I was the twins age; seven years old?,,,,,,,
G:	 Um-hm.,,,,,,,
U:	 He rode me on a glass-bottom boat.,,,,,,,
F:	 I rode a many!,,,,,,,
G:	 I’m sure!,,,,,,,
U2:	 In elementary school; we came here---,,,,,,,
U:	 We came here all the time.,,,,,,,
G:	 I came here for a field trip in the eighth grade.,,,,,,,
F:	 Oh; we used to have people here like you wouldn’t believe.,,,,,,,
U:	 Oh; I know; I know!,,,,,,,
U:	 We used to love coming here.,,,,,,,
F:	 Oh yeah; everybody did.,,,,,,,
F:	 Everybody did.,,,,,,,
U:	 We loved it!,,,,,,,
U:	 We loved it!,,,,,,,
F:	 Yeah; it was a beautiful site.,,,,,,,
F:	 I thought it was—That’s what I loved about it so much.,,,,,,,
F:	 There was so much to see and you made so many peoples happy; and that’s what made me happy; cause I was making somebody else happy.,,,,,,,
U:	 All right; well; I’m gonna get outta ya’lls way.,,,,,,,
G:	 Oh; you’re not in the way at all!,,,,,,,
G:	  I appreciate other people asking questions.,,,,,,,
F:	 I can set here all day and ask simple questions; it ain’t no big deal.,,,1,,,,
G:	 Yeah!,,,,,,,
G:	 If you have any questions that you think I’m missing; ask them!,,,,,,,
U:	 Alright; Piper;  You have to get up so I can get up baby; Let these people get back at it!,,,,,,,
U:	 She’s got a lot of questions to get answered.,,,,,,,
F:	 That’s all right; I got an answer for it.,,,,,,,
G:	 Yeah; he’s got a lot of answers!,,,,,,,
F:	  Often doing it from experience - Have a good day anyway; sir.,,,,,,,
U:	 All right; you too.,,,,,,,
F:	 I will.,,,,,,,
F:	 All right; I’m back to you!,,,,,,,
G:	 Yeah; That was interesting.,,,,,,,
G:	 I hadn’t thought about the manatees before.,,,,,,,
F:	 Oh yea; manatees they used to come in.,,,,,,,
F:	 But in all the years that I had worked here; I reckon about three years ago when I first even seen a manatee in here.,,,,,,,
F:	 I member coming around- around to the old; where we park our boats back there.,,,,,,,
F:	 It was coming through there; but I missed them.,,,,,,,
F:	 And one day; I was over here showing the bridal chamber.,,,,,,,
F:	 Right here; right down there.,,,,,,,
F:	 And a lady asked me; she said; “Is there manatee in here?”,,1,,,,,
F:	  I say; “Yes ma’am there are; but I haven’t seen one yet.”,,,,,,,
F:	 That’s been three years ago.,,,,,,,
F:	 She said; “Yeah; there’s one right over there.”,,,,,,,
F:	  I said; “Where?”,,,,,,,
F:	  She said; “Right back there!”,,,,,,,
F:	  I spinned the boat around and sailed right over.,,,,,,,
F:	 There he was!,,,,,,,
F:	 It was two of em there!,,,,1,,,
F:	 And so then; I began to see em.,,,,,,,
F:	 I was going down around the old Christmas Tree Spring; we called it.,,,,,,,
F:	 And it was; three of them come up there.,,,,1,,,
F:	 They sat right up and down that glass; Just a beautiful shot on your walk.,,,,,,,
F:	 The guy was settin in the back and I say; “If you want a picture; there it is brother.”,,,,,,,
F:	  And I just sit that boat right there--- He sat there; He just fired away with em.,,,,,,,
F:	  It’s a lot I’ve down and seen and that’s what makes part of it enjoyable to ya.,,,,1,,,
F:	 When you enjoy doing what you’re doing.,1*,,,,,,
F:	 And you’re making somebody happy in what you’re doing; you’re not making somebody angry at you with what you are doin.,1,,,,,,
F:	 It makes all the difference in the world.,,,,,,,
G:	 Yeah; I’m sure.,,,,,,,
G:	 It sounds like a fun job; and that you’ve enjoyed it all these years.,,,,,,,
F:	 I’ve enjoyed it the whole time I’ve been here; the whole time.,,,,,,,
F:	 There was so much to see.,,,,,,,
G:	 And it changes every day!,,,,,,,
F:	 Yeah.,,,,,,,
U3:	 We was down playin by that log jammer and about ten come down.,,,,,,,
F:	 Yeah!,,,,,,,
G:	 Manatees?,,,,,,,
U3:	 Yeah.,,,,,,,
G:	 Wow!,,,,,,,
G:	 That’s a lot of manatees!,,,,,,,
U3:	 There was a baby one; about that big.,,,,,,,
F:	 Well; we see em come here; right out here this Spring here where you see the U; looks like a U; that’s the headwaters of it; and old manatee come right in there; he was swimming up kind of high. ,,,,,,,
